Sentences,غصہ,نفرت,خوف,اداسی,حیرت,خوشی
یہ اداسی اور مایوسی آپ پہ جچتی نہیں,0,0,0,0,1,0
اقبال بتاتے ہیں کہ ساری دنیا میں مسلمانو ں کوہی صرف یہ شرف حاصل ہے کہ انہوں نے خدا کے پیغام کو دنیا کے دور دراز علا,0,0,0,0,0,1
مجھے پنگے لینے سے ڈر نہیں لگتا اس بات سے لگتا ہے😜 کے سامنے والا مجھ سے زیاد ڈاڈا نہ نکل آئے 😂🤣,0,0,1,0,0,1
آج کل صبح بائیک لےکرنکلتا ہوں تو لگتاہے قبیلے سے گھوڑا لے کر نکل رہا ہوں اور باقاعدہ تھوڑا بہت ڈر بھی لگتا ہےکہ,0,0,0,0,0,1
خوشی کو دیکھنے کی جستجو میں کسی غم کا جنازہ پڑھ رہا ہوں,0,0,0,1,1,0
آپ میرا کی تو خوب ترجمانی کرتے ہیں مولانا طارق جمیل صاحب سے آپ کو نفرت ہے اللہ سے ڈریں جو مقدس ہستیاں ان کی قدر کریں,1,1,0,1,1,0
مجھے اس شخص کے اگرپاؤں بھی دھو کر پینے پڑتے تو یہ بھی کر لیتی خوشی سےمگر بدکرداری کا الزام🙏,0,0,0,1,0,0
جو ہم سے نفرت کرتے ہیں وہ ذرا شوق سے کرے 😉 ✨کیونکہ ہم ہر کسی کو محبت کے قابل نہیں سمجھتے😒,0,0,0,1,1,0
صحرا صحرا دوپہریں ہیں بادل بادل شام دل نگری کی رات اداسی چنچل چنچل شام ڈالی ڈالی پ,0,0,0,1,1,0
اچھی اور مثبت سوچ کرونا کے خوف سے آزادی دلا سکتی ہے کرونا سے متاثرین سے نفرت کرنے کی بجائے ان کی مدد کرنا چاہیے,0,0,0,0,0,0
شاید اس قدر خرافات شامل نہ کرتے بلکہ سیدھی سادی عبادت کرتے کبھی ایڈوانس یوزر بننے کی کوشش نہ کرتے نہ,0,0,0,1,0,0
کبھی کبھی ایسی بات پڑھ لیتے ہیں کہ اداسی ختم ہونے کا نام ہی نہیں لیتی,0,0,0,1,0,0
کالے دل کا مالک اور بدتمیزی اس سے کوئی فرق نہیں پڑتا ہے کہ وہ کس طرح اپنی بدکاری اور اس کے دل کو سیاہ کرنے اور بھلا,0,0,0,1,1,0
جانے کیا ڈر ہے کہ اپنے آپ سے بھاگتے رہنے کی عـادت ہو گئی فرحت عباس شاہ,0,0,1,1,0,0
حیرتِ عشق نہیں شوقِ جنوںِ گوش نہیں بے حجابانہ چلے آؤ مجھے ہوش نہیں کہہ گئی کان میں آ کر تیرے دامن کی,0,0,0,1,0,0
اسلام علیکم آللہ کا ڈر اور آللہ کا در جسے یہ دو نعمتیں نصیب ہو گئیں سمجھوں اسے تمام سہادتیں مل گئیآللہ پاک آپ ک,0,0,0,0,0,1
معاشرتیناسورمیڈیا سب سے پہلے جو شخص اپنی تنہائیوں میں فیک اکاؤنٹس اور فیس بک پیجز واٹس اپ گروپس اور یو ٹیوب چین,1,1,0,0,0,0
ہم اداس لوگ جی بھی نہیں سکتے اداسی کے بنا,0,0,0,1,0,0
درد کا اظہار خوشی ک انداز میں بھی کر دو تو بھی درد درد ریے گا,0,0,0,1,1,1
نمودعشق اسے کہنا ملن بھی نامکمل ہےجدائی بھی ادھوری ہے یہاں ایک موت پوری ہے اداسی جب رگوں میں خون کی مانند اترتی,0,0,0,1,0,0
حیرت کی بات ہے اسلام اور پیارے آقا کی شان سے متعلق چلاے جانے والے ٹرینڈ میں کبھی کسی سیاسی پارٹی کے ورکرز کو شامل ہ,0,0,0,1,1,0
میں ناراض نہیں ہوں بس دل خاموش ہوگیا ہے بہت سناٹا پھیل گیا ہے اندر تک نہ غصہ کرنے کا دل ہے نہ شکوے کی تمنا نہ ہی ک,0,0,0,1,0,0
اچھی بات لیکن اتنا نفرت نہیں کرنا چاہئے😉,0,0,0,1,0,0
ایک سرمستی و حیرت ہے سراپا تاریک ایک سرمستی و حیرت ہے تمام آگاہی,0,0,0,0,1,0
محبت بانٹتا پھرتا ہوں میں ہر جگہ مگر خالی میری کاسی کون دیکھے گا مسکراتا رہتا ہوں میں مگر مسکراہٹ میں چھپی اداسی ک,0,0,0,1,0,0
حیرت کی بات ہے باو جی کو بیماریاں لگ چکی مرتبہ دل کا دورہ پڑچکا لیکن ابھی تک کورونا نہیں ہوا اگر یہ بیماری م,1,1,0,0,1,0
چلو مان لیتا ہوں جس طرح سے بِچھڑیں ہیں ماضی بُھول گئی ہوگی پر یہ نہیں مانتا نئے دوست اُس نے بنا لیے ہوں,0,0,0,1,0,0
یہ کون سر سے کفن لپیٹے چلا ہے الفت کے راستے پہ فرشتے حیرت سے تک رہے ہیں یہ کوں زی احترام آیا ⁧راحتالعاشقین⁩ صلی,0,0,0,0,1,0
چند کلیاں نشاط کی چُن کر مُدّتوں مَحوِ یاس رہتا ہُوں تیرا مِلنا خُوشی کی بات سہی تجھ سے ملکر اُداس رہتا ہُوں ❣️,0,0,0,1,0,1
رحمتوںکامہینہرمضان اللہ نے فرمایاروزہ میرے لیے ہے اور میں ہی اسکا اجر دوں گا کیونکہ اس میں میرا بندہ کھانے پینے,0,0,0,0,0,1
زمانوں آسمانوں آئنہ خانوں مکانوں آستانوں تک اداسی ہے فصیلوں برجیوں پہروں کمانوں سائبانوں اور مچانوں تک اداس,0,0,0,1,0,0
سوچکاسفر ہم کس کو دکھاتے شب فرقت کی اداسی سب خواب میں تھے رات کو بیدار ہم ہی تھے,0,0,0,1,0,0
جو موت سے نہ ڈرتا تھا وہ بچوں سے ڈر گیا اک رات خالی ہاتھجو مزدور گھر گیا,0,0,1,1,0,0
محنت کش شفيع محمد گزشتہ سال سے گھوٹکی اينگرو کمپنی میں ملازمت کر رہا ہے اسکا کہنا ہے مجھے پرماننٹ نہیں کیاجا رہ,0,0,0,1,0,0
دو چیزیں بہت اہم ہیں اللہ کا ڈر اور اللہ کا در بیشک,0,0,1,0,0,0
یقین مانیں خدا کا خوف آنے لگتا لرزہ طاری ہو جاتا ہے جیسے ہی گھر سے نکلو غریب اور ضرورت مند لوگ بھوک سے ایسے گاڑ,0,0,1,0,0,0
سالگرہ مبارک ہو حسین مجھے خوشی ہے کہ مجھے آپ کی زندگی میں ایک اور سال گزارنا پڑا اور بہت سال مجھے پیار ہے آپ اپن,0,0,0,0,0,1
میری روشان بھائی سے ملاقات ہوئی وہ اپنے والد صاحب کی طرح بہت اچھے انسا,0,0,0,0,1,1
لگتا آ ج غصہ بہت آ رہاھے ھماری سیانی کو,0,0,0,0,1,0
اک منزلِ بے نام نہ حسرت نہ تماشا اک عالمِ حیرت کہ نہ غم ہے نہ خوشی ہے,0,0,0,1,1,0
اس قلم سے که دو ٹوٹ جائے یونہی لکھتے لکھتے کتاب پے ہمیں بھی ڈر ہے کہیں ہو نا جائے گستاخی جناب کی وحشی لیكهاری ,0,0,1,1,0,0
غصہ چھوڑیںلیں ,0,0,0,0,0,1
السلام علیکم  دن بخیر  کسی کو اچھے عمل سے دلی خوشی دینا ہزار سجدے کرنے سے بہتر ہے  زھرا,0,0,0,0,0,1
تم اُٹھتے ہاتھوں کو کاٹ ڈالو کہ شہر لاشوں سے پاٹ ڈالو پھر اگلا موسم ہمارا ہوگا چمن کا سبزہ بھی چاٹ ڈالو کہ ہم بھی ن,0,0,0,1,0,0
اج جیو اور عمران کو ایک جگہ دیکھ کر ہم بھی یہی کہہ رہے محو حیرت ہوں کہ لوگ کیا سے کیا ہو گۓ,0,1,0,0,1,0
حسد جلن بغض جہل کذب منافقت نفرت ان میں سے ایک برائی بھی ہو تو انسان کو انسانیت کے درجے سے گ,0,0,1,0,0,0
آنکھوں میں ستارے تو کئ شام سے اترے پر دل کی اداسی نہ در بام زے اترے کچھ رنگ تو ابھرے تری گل پیرہنی کا,0,0,0,1,0,0
خدا انہیں اپنی جوار رحمت میں قراردےلیکن دیری اورجس طرح سے ڈپریشن دیگربیماریوں پر اثرانداز ہوتی ہےاسے بیان نہیں کی,0,0,0,0,0,0
محبت  وہ بہت خوبصورت تھی اسےپیار کرنےوالا اور خوبصورت شوہرملادونوں ہنسی خوشی رہنےلگےاللہ کاکرناایساہواکہ اسےجلدکی,0,0,0,1,0,1
سات رنگوں میں ڈبو کر ہے تراشا اک بدن سات سر اس میں بھرے تو ایک ٹھمری آ گئی اس کی خواہش دل کے دروازوں,0,0,0,1,0,0
میڈم کہتی ہیں کے اس کا وٹساپ نمبر بلاک کردو آس دن سے آج تک آپ کی ویڈیوز یا تصویر دیکھ کر تو بہت غصہ,1,0,0,0,0,0
  اداسی کھا گئی شباب کو ورنہ بہت دلکش تھے ہم ,0,0,0,1,1,0
یہ جو تیرے ہونٹوں پہ اداسی اور آنکھوں میں نمی ہے بکری کا دودھ پیا کرو کیلشیم کی,0,0,0,0,0,1
دنیا کی تاریخ کی حیرت انگیز خبر عالمی منڈی میں تیل مفت ھوگیا,0,0,0,0,1,0
اس اُداسی میں نغمہ کوئی چھیڑ کر ایک بے چین دل کی دُعا لیجئے,0,0,0,1,1,0
خوف کھانا ڈر کے رہنا میری فطرت میں نہیں لبیک یا رسول اللّه کہہ کر ہر دشمن سے ٹکراتا ہوں ,0,0,0,0,0,1
یہ ھنستی کھیلتی لڑکی کسی دن آہ بھر لے گی لکھا جائے گا تختی پر اُداسی کھا گئی اس کو,0,0,0,1,0,0
دنیا کے پانچویں امیر ترین آدمی کو آئی فون سے ڈر لگتا,0,0,0,0,1,0
کیا کوئی بتا سکتا ہے جو لوگ کرونا کے ڈر سے نجی اداروں سے نوکری چھوڑ گئے یا وہ لوگ مارچ کو دن کی چھٹی گھر گئے,0,0,1,0,0,0
آر ایس ایس جب بھی مسلح جتھوں کا خمیر کسی قوم کے خلاف بےجا نفرت سے اٹھایا گیا اُس کا اختتام قتل عام پر ہی ہوا وز,1,1,1,0,0,0
پھر یوں ہوا کہ شہر بیاباں ہو گئے لوگ پہرے میں ہیں اور گلیوں میں ڈر گھومتا ہے,0,0,1,1,0,0
حکومت ان میڈیا چینلز پر پابندی لگاۓ جو سماج میں نفرت پھیلا رہے ہیں اور مسلمانوں کو بدنام کرنے کی ناپاک کوشش کررہے ہیں,1,1,0,0,0,0
سب درد زخم سبھی رفو کر کے سلائیوں سے میں آہہیں سسکِیاں اپنی مُسکراہٹوں سے چھپاتا ہوں اُسے دیکھنے کے چ,0,0,0,1,1,0
وہ میری اس قدر محبت پر چونکتا بھی نہی حیرت ہے کتابہجر,0,0,0,1,1,0
کاش کہ نفرت ناپنے کا کوئی آلہ ہوتا تو میں اپنی نفرت دکھاتا,1,0,0,1,0,0
کاش اتنی محنت جتنی تو نواز شریف اور شہباز شریف کو خوش رکھنے کے لیے اور ان کے دونوں بھائیوں کے استاد پ,1,1,0,0,0,0
وہ مرد نہیں جو ڈر جائے حالات کے خونی منظر سے جس حال میں جینا مشکل ہوں اس حال میں جینا لازم ہے,0,0,0,1,0,1
جو موت سے نہ ڈرتاتھا وہ ایک دن بچوں ڈر گیا ایک رات خالی ہاتھ جب مزدور گھر گیا,0,0,1,1,0,0
وہ بڑی خوشی سے آگے آگے دیکھے گا اور ھم بھی کیونکہ جتنا بڑا چیلنج اتنی بڑی کامیابی اور جتن,0,0,0,0,0,1
کبھی بے وجہ اداسی کبھی بے وجہ الجھنا ,0,0,0,1,1,0
اب تو چھری 🔪 پکڑوں تو لگتا ہے تلوار ⚔️ ہاتھ میں آ گئ ہے اور رات کو تو خواب میں ارتغل بیم ہی بن جاتا ہوں کبھی صلیبیو,0,0,0,0,0,1
جس بھوک پیاس سے دنیا ڈر رہی یے اسے میرے اللة نے عبادت بنادی😘💜,0,0,0,0,0,1
بھائی آپ غالباً کراچی کا حوالہ دے رہے ہیں تو کراچی تو پاکستان کی ریڑھ کی ہڈی ہے اور سب سے بڑا شہر ہے,0,0,0,0,1,0
وہ مرد نہیں جو ڈر جائے حالات کے خونی منظر سے جس دور میں جینا مشکل ہو اس دور میں جینا لازم ہے جبلاستقامتخادمحسینرضوی,0,0,0,0,0,1
مجھے تماشائیوں سے کوئی سروکار نہیں مجھے ہمدردوں سے ڈر لگتا ہے,0,0,0,1,0,0
ہاہاہا یہ اکاؤنٹ پہلے بھی خان لیگ فین تھا حیرت ان خان لیگ فینز پر ہے جو آر ٹی کرے جا رہے ہیں,0,0,0,0,1,1
اچرو تھر حیرت کا سفید صحرا جہاں آپ سے زیادہ جھیلیں دیکھ سکتے ہیں شہر ہتھنگو کے قریب خوبصورت جھیل ہے جیئے س,0,0,0,1,1,0
عمران خان انکوائریاں کروا کے ہر قسم کی کرپشن سامنے لارہا ہے اسے ایسا کرنے میں کوئ خوف اور تردد آڑے نہیں آتا کیونکہ,0,0,0,0,0,1
أدھر عمران خان قادیانیوں کو حٗکومت و ریاست میں فیصلہ کٗن پوزیشن دینے کے لیے کوٸی قدم أٹھاتا ہےاِدھر علی مٗحمد خان,0,0,0,0,0,0
اداسی کی عادت ہے نا اس لیے,0,0,0,1,0,0
آج کل صبح بائیک لےکرنکلتا ہوں تو لگتاہےقبیلےسے گھوڑا لےکرنکل رہاہوں اور باقاعدہ تھوڑا بہت ڈر بھی لگتاہےکہیں,0,0,1,0,0,1
ڈَر گئے جو رَستوں سے گھر سے کیسے نِکلو گے,0,0,0,1,0,0
یوکے میں کرونا وائرس سے اموات کے باوجود اپوزیشن کی لیبر پارٹی خاموش ہے اور کوئی سیاست نہیں یو رپی ہے جبکہ پاک,0,0,0,0,1,0
سلگتی ریت کے صحرا میں رکھے نم سے سیرابی کے ساحل تک اداسی ہے طلب کی خاک سے لتھڑے گمانوں میں دھڑکتے کرب سے دل تک اداس,0,0,0,1,0,0
محبت اور غصہ سے بچنے کا طریقہ بتا دیں,0,0,1,1,0,0
میں اگر محبت شدت سے کرتی ہوں تو میں نفرت میں بھی بے مثال ہوں ,0,0,0,0,0,1
روح کو جو چاٹ رہی ہے اُداسی ہے بدن کو بھی کاٹ رہی ہے اُداسی ہے وہ سب چھوڑ دیکھ اپنی تو ہے ناں پھر تازہ ہے یا,0,0,0,1,0,0
بے سبب اداسی سے دل کی بند گلیوں میں دھند چھائی رہتی ہے ,0,0,0,1,0,0
مجھےاب ڈر نہیں لگتا کسی کے دُورجانے سے تعلق ٹوٹ جانےسے کسی کےمان جانےسے کسی کےرُوٹھ جانےسے مجھےاب ڈرنہیں لگتا کس,0,0,0,1,0,0
غم کو بھی اسی طرح قبول کرو جس طرح خوشی کو کرتے ہو کیونکہ دونوں ایک ہی منصف کی لکھی ہوٸی ہیں,0,0,0,0,0,0
مرنے سے ایک دن پہلے رات دو بجے رشی کپور کا فون آیا کہنے لگے حامد مجھے آگ سے بہت ڈر لگتا ہے تم اور ارناب گوسوامی م,1,1,0,0,0,0
میں اکثر تمھیں کھو دینے کے ڈر سے اپنی کئ باتوں کو دل میں ہی دبا لیتی ہوں کبھی تم کو کہتی ہی نہیں مہکیات,0,0,0,1,0,0
موسم خان سکنہ شکئی کرونا کو شکست دینے کے بعد ہیلتھ سٹاف کا شکریہ ادا کرتے ہوئے خوشی سے رو پڑے ڈاکٹر صاحبان کے ساتھ,0,0,0,1,1,1
بھائ اس  کا مطلب لسانی فساد کھڑا کرنا ہے اور یہ  خود چلا رہی ہے جب بھی ان کی کرپشن پکڑے جانے کا ڈر ہو تو ی,0,1,0,1,0,0
کڑوی حقیقت ہے کہ ہماری فرقہ پرستی مال و زر کی ہوس اسلام سے دوری اور جہاد سے نفرت نے ہمیں اس نہج تک پہنچا دیا ہے,0,1,0,1,0,0
ایسے کئ ارب پاکستانیوں نے مختلف سیاستدانوں کو جمع کرکے دئیے ہیں آج تک کسی ایک ارب کی بھی خبر نہیں کہ,0,0,0,0,1,0
سونے کی بڑھتی قیمت منہ کے بل آگری حیرت انگیز طور پر کمی,0,0,0,0,1,0
اپنی خوشی کو میں خود ہی نظر لگانے کو کافی ہوں 🥀,0,0,0,1,0,0
مجھے پسند کرنے والوں آپ کا شکریہ اور نفرت کرنے والو,0,0,0,1,0,1
اپنی اداسی دے مجھے میرے حصے کا بھی تو مسکرایا کر,0,0,0,1,0,0
تیس سال کی عورت کو بیس سال کی لڑکی بول دو وہ خوشی سے تمہارا منہ چوم لے گی 😃😜,0,0,0,0,1,1
بھی بنا لی سوچا شام کو میاں جی سے معافی مانگ لوں گی اپنا گھر پھر بھی اپنا ہی ہوتا ہے شام کو میاں جی,0,0,0,0,1,1
مثبت اقدامات پر دو کتے اور دو کتیا چھوڑ رکھی ہیں جو آئے روز سندھ حکومت کے اقدامات پر بھونکتے دکھائی,1,1,0,0,0,0
وزیر آعلی سندھ لوگوں کو مزہب سے نفرت نہ دلائو آپ ہاتھ جوڑ کر معافیاں مانگتے ھو اور حکومت کے خلاف نئی سے نیی سا,1,1,0,1,0,0
ہمیں نفرت سے نفرت ہے کہو تو محبت بانٹیں,0,0,0,0,0,1
غصہ بہت کرتے ہو پھر محبت ہو گئی ہے کیا,0,0,0,0,1,0
پوپلزئ نے اپنی شلوار کا ناڑا کهولا اور پٹواریوں دگڑدلوں کو چاند کهڑا کرکے دکهادیا پٹواریوں میں خوشی کی لہر دوڑ گئ😆,1,1,0,0,0,0
جمیل بھائی اگر آپ ختم نبوت پر سچے دل سے کام کریں گے تو اللہ آپ کی ضرور مدد فرماۓ گا پھر جس کے ساتھ اللہ کی مدد ہو ا,0,0,0,0,0,1
آنے والے دنوں میں انڈیا میں مسلمانوں کے خلاف نفرت کی موجودہ لہر میں کوئی کمی آئے گی یا نہیں اس بارے میں کچھ کہنا مش,1,0,1,1,0,0
ہمارے ساتھ اُداسی زمیں پہ اتری تھی دُھواں سا جیسے حرارت کی مَد میں آتا ہے ادبکاسفر,0,0,0,1,0,0
خوب کھانے کی خواہش نہ ہو کھانا نہ کھائیں ان مریضوں نے ایسا ہی کیاحیرت انگیز طور پر ان کی بھوک پلٹ آئی رمضانالنور نمودعشق,0,0,0,0,1,0
خوف جھجک اندیشہ گھبراہٹ پریشانی پہلی محبت پہلی سگریٹ جیسی تھی ہماریجہت,0,0,0,0,0,1
مُجھ پر ہوا تمام اُداسی کا سلسلہ مُجھ سے تو کم ہی ہوگا وہ جتنا اُداس ہے ~ پہلے وہ ڈر گئی تھی کہ کیا ہوگیا مجھ,0,0,0,1,0,0
اپنی ذات کے لئے تو سبھی سوچتے ہیں انسان کے لیۓ حقیقی خوشی اور خدا تعالیٰ کی رضامندی اس بات میں ہے کہ انسان دوسروں کے لیۓ سوچےاور کچھ کرے,0,0,0,0,0,0
دن بھر اک دوجے سے لڑتے رہتے ہیں رات کو تھک کر سو جاتے ہیں ڈر اور میں جناب  صاحب  کی ریگولرائزیشن سمری کی,0,0,1,1,0,0
وہ بولی کون اکثر یاد آتا ہے اداسی میں میں بولا تمہاری درمیان والی سہیلی 😝 👇  👈,0,0,0,0,0,1
حیرت کی بات ہے گلی محلے بینک منڈی اور کئی ادارے کھلے ہیں پر تکلیف صرف مسجد سے اور عبادت سے ہے واہ,0,0,0,0,1,0
حیرت 😮,0,0,0,0,1,0
موت سے ڈرتے ہوں گے لوگ صاحب مجھے تو اسکی بے رخی سے ڈر لگتا ھے رونقشاعری,0,0,1,1,0,0
موجودہ صورتحال کو دیکھتے ہوئے انسان دوست اپنے لوگوں کے لیے ہمیشہ خوشی خوشی آگے پہنچ جاتے ہیں موجودہ لاک ڈاون کے وج,0,0,0,0,0,1
آپ سے گزارش ہے کہ طالب علم کی باتوں کو سنو کہ ان کہ کیا حالات ہیں انھیں اوئن لائن کلاسز میں کچھ سمجھ آیا سو ایج,0,0,0,1,0,0
ماشااللہ بہت خوشی کی بات ہے اللہ تعالی آپکو سلامت رکھے,0,0,0,0,0,1
تمہیں اپنی زندگی سے کیوں نفرت ہے,0,0,0,1,1,0
اے یعقوب کی اولاد ف یاد کرو میرا وہ احسان جو میں نے تم پر کیا ف اور میرا عہد پورا کرو میں تمہارا عہد پورا ک,0,0,0,0,0,0
القرآن کریم اور ہم کسی نہ کسی طرح تمہاری آزمائش ضرور کریں گے دشمن کے ڈر سے بھوک پیاس سے مال و جان اور پھلوں,0,0,0,0,0,0
اداسی کے حصار میں جکڑے ہوئے ہیں ہم ہاں کسی کے دل سے نکالے ہوئے ہیں ہم منمنت,0,0,0,1,0,0
♥میں تم سے کیسے کہوں اے مہربان ♥ تم علاج ہو میری ہر اداسی کا ♥,0,0,0,1,1,0
آپ کیوں اتنا غصہ ہو رہے 🤷🏻‍♀️,0,0,0,0,1,0
جی بلکل ھم سندھ اور سندہ کے ڈاکٹروں کے ساتھ ھیں وفاق کے موت کے سوداگروں سے نفرت کرتے ھیں وہ سندہ ا,1,1,0,0,0,0
مجھے حیرت ان ڈاکوؤں کی عقل پر ہوتی ہے جنہوں نے ملک و قوم کا خزانہ لوٹا ہے کہ وہ کس قدر دیدہ دلیری سے اور ڈھیٹ بن کر,0,1,0,0,1,0
میرا بھائ جیتے یا بہن خوشی دونوں کی ہوگی پر میر,0,0,0,0,0,1
اخلاق صرف مسکراہٹ کا نام نہیں ہے بلکہ احساس کی بلندی کا نام ہے یعنی کسی کی خوشی اپنی خوشی اور کسی کا غم اپنا غم سمج,0,0,0,0,0,1
اس شاٹ میں اداسی ھی دیکھنی ھے یا 😂😂🤣🤣,0,0,0,0,1,1
نفرت تو کسی بھی صورت میں بہتر نہیں,0,0,0,0,0,0
اب درندوں سے نہ شیطان سے ڈر لگتا ہے پھر بھی کہتا ہوں میں ایمان سے ڈر لگتا ہے پڑھ کے لاحول شیطان تو بھگا سکتا ہوں مج,0,0,0,0,1,0
آج پھر سے مجھے نظر آیا رنگ اُداسی میں گھولتا ہوا تُو پھر وہی تھامتا ہوا اِک میں پھر مسلسل ہے ڈولتا ہوا تُو دے کے,0,0,0,1,0,0
شادی سے ڈر نہیں لگتا صاحب ساس سے لگتا ہے🙆‍♀️,0,0,1,0,0,0
تیرے ہوتے بهی سب خراب ہی تها اور پهر آج کل تو توں بهی نہیں اے شگوفوں میں رنگ بهرتے شخص اب اس اداسی کا حل تو توں بهی نہیں,0,0,0,1,0,0
